--------------------2019-07-21 0:03:45----------------
--------------------2019/7/21 0:08:45----------------
--------------------2019/7/21 0:13:45----------------
--------------------2019/7/21 0:18:46----------------
--------------------2019/7/21 0:23:46----------------
639 : 6
--------------------2019/7/21 11:33:53----------------
52 : 8
960 : 1
100 : 34
10 : 40
629 : 220
11 : 889
30 : 38
31 : 273
14 : 162
53 : 744
622 : 6
44 : 4
34 : 2
200 : 6
610 : 202
32 : 3
638 : 270
611 : 141
807 : 5
900 : 4
13 : 103
657 : 53
17 : 152
642 : 1
630 : 3
3555 : 30
915 : 4
916 : 13
923 : 239
919 : 228
22 : 56
925 : 4
922 : 133
906 : 1
--------------------2019/7/21 11:38:53----------------
1202 : 2
52 : 4
960 : 2
100 : 38
10 : 23
201 : 1
629 : 214
11 : 662
30 : 28
31 : 317
14 : 370
53 : 515
635 : 5
622 : 5
44 : 12
34 : 6
200 : 3
610 : 226
32 : 1
638 : 214
611 : 190
13 : 88
657 : 48
17 : 124
630 : 1
3555 : 16
915 : 12
916 : 6
923 : 227
919 : 222
22 : 12
925 : 3
922 : 118
639 : 2
--------------------2019/7/21 11:43:54----------------
52 : 4
100 : 22
10 : 1
629 : 146
11 : 783
31 : 175
14 : 154
53 : 622
622 : 1
200 : 1
610 : 46
638 : 285
611 : 49
900 : 2
13 : 11
657 : 44
17 : 159
3555 : 14
916 : 8
923 : 213
919 : 203
925 : 4
922 : 148
--------------------2019/7/21 11:48:54----------------
1202 : 2
708 : 9
54 : 4
56 : 31
52 : 11
960 : 12
100 : 32
2821 : 2
10 : 204
201 : 1
629 : 151
11 : 615
30 : 117
31 : 144
14 : 214
53 : 325
635 : 11
622 : 20
44 : 63
34 : 5
643 : 16
615 : 1
200 : 9
610 : 105
32 : 18
641 : 7
636 : 8
638 : 107
611 : 78
653 : 1
633 : 9
634 : 9
801 : 7
807 : 14
900 : 4
13 : 36
657 : 37
17 : 71
3555 : 20
915 : 63
916 : 11
923 : 152
919 : 147
202 : 17
922 : 77
--------------------2019/7/21 11:53:54----------------
708 : 38
54 : 2
52 : 4
960 : 3
100 : 13
10 : 558
629 : 277
11 : 1214
30 : 266
31 : 299
14 : 310
53 : 430
622 : 3
44 : 160
34 : 17
200 : 3
610 : 120
32 : 91
641 : 36
636 : 36
638 : 127
611 : 43
633 : 38
634 : 38
801 : 36
807 : 14
656 : 3
900 : 1
13 : 48
657 : 22
17 : 90
630 : 2
3555 : 14
915 : 160
916 : 5
923 : 91
919 : 88
925 : 1
922 : 119
639 : 6
--------------------2019/7/21 11:58:54----------------
1202 : 1
708 : 10
54 : 9
56 : 101
52 : 6
960 : 3
100 : 29
2821 : 4
10 : 130
629 : 214
11 : 861
30 : 59
31 : 215
14 : 146
53 : 347
635 : 8
622 : 30
44 : 75
34 : 32
643 : 8
200 : 17
610 : 140
32 : 5
600 : 3
641 : 7
636 : 7
638 : 116
640 : 1
611 : 41
20 : 8
653 : 2
633 : 10
634 : 10
801 : 10
807 : 12
900 : 3
13 : 79
657 : 32
17 : 67
630 : 9
3555 : 18
817 : 2
907 : 1
915 : 75
916 : 6
905 : 1
923 : 12
919 : 14
22 : 1
202 : 5
925 : 1
819 : 1
922 : 66
716 : 28
912 : 1
804 : 2
805 : 2
--------------------2019/7/21 12:03:54----------------
708 : 10
54 : 4
56 : 73
52 : 4
960 : 4
100 : 25
2821 : 5
10 : 221
629 : 281
11 : 1230
30 : 93
31 : 364
14 : 420
53 : 449
44 : 124
34 : 49
643 : 24
610 : 36
32 : 4
641 : 8
636 : 8
638 : 137
611 : 15
653 : 1
633 : 10
634 : 10
801 : 10
807 : 14
656 : 1
900 : 3
644 : 2
13 : 43
657 : 26
17 : 79
630 : 11
3555 : 18
915 : 124
916 : 6
923 : 51
919 : 52
4497 : 1
922 : 86
906 : 1
--------------------2019/7/21 12:08:54----------------
708 : 7
54 : 7
56 : 108
52 : 8
960 : 2
100 : 61
2821 : 7
10 : 293
629 : 276
11 : 87
30 : 216
31 : 94
14 : 7
53 : 361
44 : 130
34 : 64
643 : 30
610 : 2
32 : 27
641 : 5
636 : 5
638 : 89
653 : 2
633 : 7
634 : 7
801 : 7
807 : 3
900 : 7
644 : 3
13 : 85
657 : 27
17 : 19
642 : 1
630 : 4
3555 : 18
915 : 130
916 : 11
923 : 9
22 : 34
925 : 1
922 : 34
--------------------2019/7/21 12:13:54----------------
1202 : 2
708 : 6
54 : 3
56 : 20
52 : 4
960 : 4
100 : 18
2821 : 4
10 : 747
629 : 305
11 : 3939
30 : 561
31 : 513
14 : 802
53 : 692
635 : 3
622 : 6
44 : 46
34 : 15
643 : 16
200 : 2
610 : 28
641 : 2
636 : 2
638 : 97
640 : 8
20 : 202
653 : 1
633 : 6
634 : 6
801 : 3
807 : 8
900 : 2
13 : 24
657 : 245
17 : 59
630 : 13
3555 : 32
915 : 46
916 : 6
923 : 117
919 : 93
22 : 160
202 : 3
925 : 2
922 : 119
639 : 1
804 : 14
--------------------2019/7/21 12:18:54----------------
52 : 4
960 : 4
100 : 7
10 : 351
629 : 259
11 : 5639
30 : 621
31 : 1407
14 : 2793
53 : 958
635 : 2
622 : 4
44 : 530
34 : 259
200 : 2
610 : 136
32 : 88
638 : 267
640 : 3
611 : 73
20 : 12
656 : 1
900 : 1
13 : 36
657 : 100
17 : 159
630 : 6
3555 : 36
915 : 530
916 : 7
923 : 172
919 : 168
22 : 318
922 : 159
639 : 4
804 : 8
805 : 22
--------------------2019/7/21 12:23:54----------------
52 : 8
960 : 3
100 : 14
10 : 175
629 : 312
11 : 2069
30 : 281
31 : 1024
14 : 1418
53 : 926
622 : 1
44 : 192
34 : 88
200 : 1
610 : 175
32 : 6
638 : 245
640 : 3
611 : 159
20 : 21
807 : 1
656 : 1
13 : 36
657 : 106
17 : 144
642 : 1
630 : 6
3555 : 26
915 : 192
916 : 7
923 : 195
919 : 200
22 : 145
922 : 160
--------------------2019/7/21 12:28:54----------------
4010 : 2
4017 : 2
658 : 2
2953 : 2
1281 : 2
545 : 2
888 : 2
889 : 2
4230 : 2
4501 : 2
4500 : 2
4613 : 2
4615 : 2
4612 : 2
4628 : 2
4430 : 2
4431 : 2
4432 : 2
4636 : 2
1202 : 6
51 : 2
50 : 2
42 : 2
708 : 7
54 : 6
56 : 39
52 : 6
46 : 2
2820 : 2
960 : 4
3324 : 2
1264 : 2
3554 : 2
100 : 14
2821 : 5
10 : 703
201 : 2
629 : 230
11 : 4941
30 : 396
31 : 763
14 : 805
53 : 528
44 : 258
34 : 122
643 : 6
2957 : 2
621 : 2
610 : 42
32 : 20
4469 : 10
641 : 2
636 : 4
638 : 123
640 : 15
611 : 40
211 : 2
20 : 62
653 : 1
633 : 5
634 : 5
801 : 5
807 : 7
656 : 1
13 : 32
657 : 102
17 : 88
630 : 13
3555 : 28
4470 : 1
915 : 258
916 : 4
923 : 138
919 : 138
22 : 216
9 : 3
918 : 1
925 : 1
922 : 89
804 : 71
805 : 55
--------------------2019/7/21 12:33:54----------------
4010 : 1
4017 : 1
658 : 1
2953 : 1
1281 : 1
545 : 1
888 : 1
889 : 1
4230 : 1
4501 : 1
4500 : 1
4613 : 1
4615 : 1
4612 : 1
4628 : 1
4430 : 1
4431 : 1
4432 : 1
4636 : 1
1202 : 10
51 : 1
50 : 1
42 : 1
708 : 5
54 : 3
56 : 37
52 : 5
46 : 1
2820 : 1
960 : 2
3324 : 2
1264 : 1
3554 : 1
100 : 29
2821 : 8
10 : 696
